year,occ_desc,sex1,sex2,mthly_gross_wage_50_pctile,mthly_basic_wage_50_pctile
2022,logistics and maintenance planner,all,females,3897,3800
2022,logistics and maintenance planner,all,males,3900,3645
2022,management executive,all,females,3800,3560
2022,management executive,all,males,4086,3788
2022,operations officer (except transport operations),all,females,3850,3471
2022,operations officer (except transport operations),all,males,3810,3200
2022,legal associate professional (e.g. paralegal),all,females,6196,5508
2022,legal associate professional (e.g. paralegal),all,males,8750,6400
2022,social work associate,all,females,3200,3000
2022,social work associate,all,males,2900,2600
2022,sports coach,all,males,2909,2643
2022,physical fitness instructor (including yoga instructor and aerobics instructor),all,males,3165,2200
2022,interior designer,all,females,4000,3000
2022,visual merchandiser,all,females,4950,4000
2022,chef,all,females,3498,3206
2022,chef,all,males,3962,3600
2022,kitchen operations head/supervisor,all,females,3283,3231
2022,kitchen operations head/supervisor,all,males,4741,4599
2022,pastry chef,all,males,3202,3000
2022,computer systems operator,all,males,4784,3190
2022,it infrastructure technician,all,females,4995,4973
2022,it infrastructure technician,all,males,5563,5420
2022,it support technician (including it user helpdesk technician),all,females,4241,4000
2022,it support technician (including it user helpdesk technician),all,males,4004,3750
2022,broadcasting technician and audio-visual operator,all,females,2659,2449
2022,broadcasting technician and audio-visual operator,all,males,4400,4155
2022,media and broadcasting operations technician,all,males,3877,3595
2022,pre-primary education teacher,all,females,3175,2525
2022,language instructor (extracurriculum),all,females,3580,3000
2022,private tutor (academic),all,females,5581,4508
2022,private tutor (academic),all,males,6075,4765
2022,office supervisor,all,females,3309,3050
2022,office supervisor,all,males,3341,2904
2022,general office clerk,all,females,2875,2700
2022,general office clerk,all,males,3200,2916
2022,secretary,all,females,4693,4274
2022,secretary,all,males,3450,3262
2022,data entry clerk,all,females,2060,2050
2022,data entry clerk,all,males,2577,2400
2022,bank teller,all,females,3512,3221
2022,travel consultant/reservation executive,all,females,3643,2758
2022,"receptionist, customer service and information clerk",all,females,2925,2621
2022,"receptionist, customer service and information clerk",all,males,3112,2602
2022,accounting and bookkeeping clerk,all,females,3225,3000
2022,accounting and bookkeeping clerk,all,males,3285,3200
2022,finance and insurance clerk,all,females,4330,4200
2022,finance and insurance clerk,all,males,5450,5250
2022,stock clerk,all,females,2245,1922
2022,stock clerk,all,males,2500,2300
2022,production clerk,all,females,2274,2000
2022,production clerk,all,males,2629,2263
2022,transport clerk,all,females,3312,2880
2022,transport clerk,all,males,3451,2750
2022,mail carrier and sorting worker,all,females,1690,1690
2022,mail carrier and sorting worker,all,males,2350,2350
2022,legal clerk,all,females,4650,4650
2022,transport service inspector and related worker,all,males,3779,3779
2022,cook (e.g. commis cook 2/3),all,females,2000,1900
2022,cook (e.g. commis cook 2/3),all,males,2500,1977
2022,"senior cook (e.g. station chef, commis cook 1, station cook)",all,females,2586,2452
2022,"senior cook (e.g. station chef, commis cook 1, station cook)",all,males,2800,2420
2022,captain waiter/waiter supervisor,all,females,2827,2551
2022,captain waiter/waiter supervisor,all,males,2915,2700
2022,waiter,all,females,1900,1650
2022,waiter,all,males,1700,1600
2022,barista,all,females,1900,1555
2022,barista,all,males,1605,1400
2022,hair stylist/hairdresser,all,females,2000,1900
2022,beautician,all,females,2325,2000
2022,manicurist,all,females,2603,2603
2022,masseur (non-medical) (including foot reflexologist),all,females,2129,1953
2022,masseur (non-medical) (including foot reflexologist),all,males,1645,1517
2022,driving instructor/tester,all,males,3294,2497
2022,sales supervisor,all,females,2800,2331
2022,sales supervisor,all,males,3100,2660
2022,shop sales assistant,all,females,2049,2000
2022,shop sales assistant,all,males,2066,2000
2022,cashier (general),all,females,2162,2016
2022,cashier (general),all,males,1900,1683
2022,sales demonstrator and door-to-door salesperson,all,females,1930,1620
2022,sales demonstrator and door-to-door salesperson,all,males,3515,2625
2022,sales demonstrator,all,females,1725,1500
2022,sales demonstrator,all,males,3502,2460
2022,telemarketer,all,females,3148,2803
2022,petrol station attendant,all,males,1850,1850
2022,food service counter attendant,all,females,2200,2160
2022,child care and related worker,all,females,2700,2700
2022,child care and related worker,all,males,2642,2025
2022,teacher aide,all,females,2661,2619
2022,healthcare assistant (e.g. therapy aide/assistant),all,females,2407,1600
2022,healthcare assistant (e.g. therapy aide/assistant),all,males,2641,1600
2022,nursing aide/assistant,all,females,2424,2200
2022,dental aide/assistant,all,females,2650,2120
2022,senior security supervisor,all,males,3410,2809
2022,security supervisor,all,females,2768,2400
2022,security supervisor,all,males,2768,2400
2022,senior private security officer,all,females,2577,1876
2022,senior private security officer,all,males,2707,1830
2022,private security officer,all,females,2617,2022
2022,private security officer,all,males,2556,1900
2022,gardeners and horticultural worker,all,males,1650,1650
2022,supervisor/general foreman (building and related trades),all,females,2616,2024
2022,supervisor/general foreman (building and related trades),all,males,3500,2969
2022,carpenter,all,males,2870,2494
2022,floor/wall tiler,all,males,1550,1418
2022,"plumber, pipe fitter and related worker",all,males,2630,2630
2022,building maintenance worker,all,females,2334,2334
2022,building maintenance worker,all,males,2000,1850
2022,"supervisor/general foreman (metal, machinery and related trades)",all,females,3507,3238
2022,"supervisor/general foreman (metal, machinery and related trades)",all,males,4310,3543
2022,welder and flame cutter,all,males,2822,2214
2022,"metal polisher, wheel grinder and tool sharpener",all,females,2401,2401
2022,automotive mechanic,all,males,3224,3143
2022,machinery mechanic,all,males,3015,2295
2022,industrial/office machinery mechanic,all,males,3607,3586
2022,"supervisor/general foreman (precision, handicraft, printing and related trades)",all,females,3155,2579
2022,"supervisor/general foreman (precision, handicraft, printing and related trades)",all,males,5247,4864
2022,precision instrument maker and repairer,all,females,2796,2796
2022,medical device assembler/repairer,all,females,3363,3363
2022,"supervisor/general foreman (electrical and electronic trades, excluding lift)",all,males,4005,3600
2022,electrician,all,males,2652,2550
2022,"bakers, pastry and confectionery maker",all,females,2005,1400
